MàJ;ɛm.a.ʒi
Maskinongeois;mas.ki.nɔ̃.ʒwa
Maskoutain;mas.ku.tɛ̃
Maskoutin;mas.ku.tɛ̃
Maskulinum;ɛ̃.pɛʁ.ti.nɑ̃
Masot;mə.lɔʃ.vi.lwa
Masovie;ma.zɔ.vi
Masovien;ma.zɔ.vjɛ̃
Masovienne;ma.zɔ.vjɛn
Masoviennes;ma.zɔ.vjɛn
Masoviens;ma.zɔ.vjɛ̃
Masquaronien;mas.ka.ʁɔ.njɛ̃
Massaï;ma.saj
Massachusett;ma.sa.ʃy.sɛt
Massachusetts;ma.sa.tʃu.sɛts
Massada;ma.sa.da
Massaker;mi.ze.ʁas
Massanaise;ma.sa.nɛs
Masseur;ma.sœʁ
Massicois;ma.si.kwa
Massicoise;ma.si.kwaz
Massimo;ma.ʁjo
Massuevillois;ma.sy.vi.lwa
Massy;ma.si
Matéo;ma.teo
Matabiau;matabjo
Matadi;ma.ta.di
Matadien;ma.ta.djɛ̃
Matapédien;ma.ta.pe.djɛ̃
Matawinien;ma.ta.wi.njɛ̃
Matera;ma.tɛ.ʁa
Mathéen;ma.te.ɛ̃
Mathéo;ma.te.o
Mathalien;ma.ta.ljɛ̃
Mathalois;ma.ta.lwa
Mathias;ma.tjas
Mathiassois;ma.tja.swa
Mathieu;ma.tjø
Mathieusaintois;ma.tjø.sɛ̃.twa
Mathilde;ma.tild
Mathis;ma.tis
Mathurin;ma.ty.ʁɛ̃
Mathurine;ma.ty.ʁin
Mathys;ma.tis
Matignon;ma.ti.ɲɔ̃
Matinik;maʁ.ti.nik
Matisse;ma.tis
Matratze;mi.zɛ.ʁə.ʁjɔ̃
Matrikel;ɛɡ.ze.ky.tiv
Matsuno;ma.tsy.no
Mattawin;ma.ta.wɛ̃
Matthews;maʁtɛ̃
Matthias;ma.tjas
Matthieu;ma.tjø
Matthis;ma.tis
Matura;ma.tjas
Maubérien;mo.be.ʁjɛ̃
Maubérienne;mo.be.ʁjɛn
Maubériennes;mo.be.ʁjɛn
Maubériens;mo.be.ʁjɛ̃
Mauchamps;mo.ʃɑ̃
Maud;mod
Maude;mod
Mauersegler;ɛɡ.ze.ky.tiv
Maufé;mali.kɔ.ʁjɔm
Maufait;mali.kɔ.ʁjɔm
Maugrabin;mo.ɡʁa.bɛ̃
Maugrabine;mo.ɡʁa.bin
Maugrabines;mo.ɡʁa.bin
Maugrabins;mo.ɡʁa.bɛ̃
Maugrebine;mo.ɡʁə.bin
Maugrebines;mo.ɡʁə.bin
Maugrebins;mo.ɡʁə.bɛ̃
Maulkorb;mi.zɛ.ʁə.ʁɛ
Maumusson;ma.my.sɔ̃
Maupertuis;mo.pɛʁ.tɥi
Maure;moʁ
Maures;mɔʁ
Mauresque;mo.ʁɛsk
Mauresques;ma.tɑ̃t
Mauressargues;mo.ʁə.saʁɡ
Mauretania;mo.ʁi.ta.ni
Mauriçois;mɔ.ʁi.swa
Mauriac;mo.ʁjak
Maurice;mɔ.ʁis
Maurici;mɔ.ʁis
Mauricia;mi.nys.ky.li.ze
Mauricie;mɔ.ʁi.si
Mauricien;mo.ʁi.sjɛ̃
Mauricienne;mo.ʁi.sjɛn
Mauriciennes;mo.ʁi.sjɛn
Mauriciens;mo.ʁi.sjɛ̃
Mauricijus;mɔ.ʁis
Mauricio;mɔ.ʁis
Mauriciu;mi.nys.ky.li.ze
Mauricius;mɔ.ʁis
Mauris;mɔ.ʁis
Maurisque;mɔ.ʁisk
Mauritània;mo.ʁi.ta.ni
Mauritaania;mo.ʁi.ta.ni
Mauritania;mo.ʁi.ta.ni
Mauritanie;mo.ʁi.ta.ni
Mauritanien;mo.ʁi.ta.njɛ̃
Mauritanienne;mo.ʁi.ta.njɛn
Mauritaniennes;mo.ʁi.ta.njɛn
Mauritaniens;mo.ʁi.ta.njɛ̃
Mauritius;mɔ.ʁis
Maurizio;mɔ.ʁis
Mauro;ma.ʁjo
Maurus;ɛ̃.vi.zi.bi.li.za.sjɔ̃
Mauser;mo.zəʁ
Maxéville;ma.ʃe.vil
Max;maks
Maxeline;ma.ksə.lin
Maxence;mak.sɑ̃s
Maxer;mak.sɛʁ
Maxim;mak.sim
Maxime;ma.ksim
Maximilien;mak.si.mi.ljɛ̃
Maximin;ma.ksi.mɛ̃
Maximum;mi.si.le
Maxine;mak.sin
Maxwell;maks.wɛl
Maya;ma.ja
Mayas;ma.ja
Mayen;ma.jɛ̃
Mayenne;ma.jɛn
Mayeul;ma.jœl
Mayeule;ma.jœl
Mayflower;mej.flo.wœʁ
Mayline;mɛ.lin
Maylis;me.lis
Mayo;ma.jo
Mayolois;ma.jɔ.lwa
Mayotte;ma.jɔt
Mayottedrongo;mi.jaʁ
Mayran;mɛʁɑ̃
Mayssa;ma.i.sa
Mazères;ma.zɛʁ
Mazéries;ma.ze.ʁjɛs
Mazagran;ma.za.ɡʁɑ̃
