Africa;al.kɔl
Africain;a.fʁi.kɛ̃
Africaine;a.fʁi.kɛn
Africaines;a.fʁi.kɛ̃
Africains;a.fʁi.kɛ̃
Afrikaans;a.fʁi.kɑ̃s
Afrikaner;a.fʁi.ka.nɛʁ
Afrikaners;a.fʁi.ka.nɛʁ
Afrique;a.fʁik
Afriques;a.fʁik
Afrophone;ɔ.to.e.paʁ.ɲə.ʁɛ
Agéennes;a.ʒe.ɛn
Agéens;a.ʒe.ɛ̃
Agélénidés;a.ʒe.le.ni.de
Agérinates;a.ʒe.ʁi.nat
Agésinates;a.ʒe.zi.nat
Aga;a.ɡa
Agadès;a.ɡa.dɛs
Agadézien;a.ɡa.de.zjɛ̃
Agadez;a.ɡa.dɛz
Agadir;a.ɡa.diʁ
Agadiri;a.ɡa.di.ʁi
Agadirien;a.ɡa.di.ʁjɛ̃
Agadirois;a.ɡa.di.ʁwa
Agamemnon;a.ɡa.mɛm.nɔ̃
Agapitois;a.ɡa.pi.twa
Agapiton;a.ɡa.pi.tɔ̃
Agassacoises;a.ɡa.sa.kwaz
Agata;a.da
Agatha;a.da
Agathe;a.ɡat
Agathois;a.ɡa.twa
Agathoises;a.ɡa.twaz
Agatija;a.ɡa.mɛm.nɔ̃
Agde;aɡd
Agel;a.ʒɛl
Ageloises;a.ʒə.lwaz
Agen;a.ʒɛ̃
Agenaise;a.ʒə.nɛz
Agenaises;a.ʒə.nɛz
Agencourt;a.ʒɑ̃.kuʁ
Agencourtoises;a.ʒɑ̃.kuʁ.twaz
Agenois;a.ʒə.nwa
Agenoise;a.ʒə.nwaz
Agenoises;a.ʒə.nwaz
Agentoles;a.ɡɛ̃.tɔl
Agentols;a.ɡɛ̃.tɔl
Agenville;a.ʒɑ̃.vil
Agenvilleroises;a.ɡɛ̃.vi.lə.ʁwaz
Agenvillers;a.ʒɑ̃.vi.je
Agenvilloises;a.ɡɛ̃.vi.lwaz
Ageoises;a.ʒwaz
Agernynoises;a.ʒɛʁ.ni.nwaz
Agevilloises;a.ʒə.vi.lwaz
Ageysiennes;a.ʒe.zjɛn
Ageysiens;a.ʒe.zjɛ̃
Aghiles;e.mɔ.ti.kon
Aghionaises;a.ɡjɔ.nɛz
Agi;a.ʒi
Agincourtoises;a.ʒɛ̃.kuʁ.twaz
