Éaque;e.ak
ébarouissage;e.ba.ʁu.i.saʒ
ébarouissaient;e.ba.ʁwi.sɛ
ébarouissais;e.ba.ʁwi.sɛ
ébarouissait;e.ba.ʁwi.sɛ
ébarouissant;e.ba.ʁwi.sɑ̃
ébarouisse;e.ba.ʁwis
ébarouissent;e.ba.ʁwis
ébarouisses;e.ba.ʁwis
ébarouissez;e.ba.ʁwi.se
ébarouissiez;e.ba.ʁwi.sje
ébarouissions;e.ba.ʁwi.sjɔ̃
ébarouissons;e.ba.ʁwi.sɔ̃
ébarouit;e.ba.ʁwi
ébat;e.ba
ébats;e.ba
ébattîmes;e.ba.tim
ébattît;e.ba.ti
ébattîtes;e.ba.tit
ébattaient;e.ba.tɛ
ébattais;e.ba.tɛ
ébattait;e.ba.tɛ
ébattant;e.ba.tɑ̃
ébatte;e.bat
ébattemens;e.bat.mɑ̃
ébattement;e.bat.mɑ̃
ébattements;e.bat.mɑ̃
ébattent;e.bat
ébattes;e.bat
ébattez;e.ba.te
ébattiez;e.ba.tje
ébattions;e.ba.tjɔ̃
ébattirent;e.ba.tiʁ
ébattis;e.ba.ti
ébattisse;e.ba.tis
ébattissent;e.ba.tis
ébattisses;e.ba.tis
ébattissiez;e.ba.ti.sje
ébattissions;e.ba.ti.sjɔ̃
ébattit;e.ba.ti
ébattons;e.ba.tɔ̃
ébattra;e.ba.tʁa
ébattrai;e.ba.tʁe
ébattraient;e.ba.tʁɛ
ébattrais;e.ba.tʁɛ
ébattrait;e.ba.tʁɛ
ébattras;e.ba.tʁa
ébattre;e.batʁ
ébattrez;e.ba.tʁe
ébattriez;e.ba.tʁi.je
ébattrions;e.ba.tʁi.jɔ̃
ébattrons;e.ba.tʁɔ̃
ébattront;e.ba.tʁɔ̃
ébattu;e.ba.ty
ébattue;e.ba.ty
ébattues;e.ba.ty
ébattus;e.ba.ty
ébaubîmes;e.bo.bim
ébaubît;e.bo.bi
ébaubîtes;e.bo.bit
ébaubi;e.bo.bi
ébaubie;e.bo.bi
ébaubies;e.bo.bi
ébaubir;e.bo.biʁ
ébaubira;e.bo.bi.ʁa
ébaubirai;e.bo.bi.ʁe
ébaubiraient;e.bo.bi.ʁɛ
ébaubirais;e.bo.bi.ʁɛ
ébaubirait;e.bo.bi.ʁɛ
ébaubiras;e.bo.bi.ʁa
ébaubirent;e.bo.biʁ
ébaubirez;e.bo.bi.ʁe
ébaubiriez;e.bo.bi.ʁje
ébaubirions;e.bo.bi.ʁjɔ̃
ébaubirons;e.bo.bi.ʁɔ̃
ébaubiront;e.bo.bi.ʁɔ̃
ébaubis;e.bo.bi
ébaubissaient;e.bo.bi.sɛ
ébaubissais;e.bo.bi.sɛ
ébaubissait;e.bo.bi.sɛ
ébaubissant;e.bo.bi.sɑ̃
ébaubisse;e.bo.bis
ébaubissement;e.bo.bis.mɑ̃
ébaubissements;e.bo.bis.mɑ̃
ébaubissent;e.bo.bis
ébaubisses;e.bo.bis
ébaubissez;e.bo.bi.se
ébaubissiez;e.bo.bi.sje
ébaubissions;e.bo.bi.sjɔ̃
ébaubissons;e.bo.bi.sɔ̃
ébaubit;e.bo.bi
ébauchâmes;e.bo.ʃam
ébauchât;e.bo.ʃa
ébauchâtes;e.bo.ʃat
ébauchèrent;e.bo.ʃɛʁ
ébauché;e.bo.ʃe
ébauchée;e.bo.ʃe
ébauchées;e.bo.ʃe
ébauchés;e.bɔ.ʃe
ébaucha;e.bo.ʃa
ébauchage;e.bo.ʃaʒ
ébauchages;e.bo.ʃaʒ
ébauchai;e.bo.ʃe
ébauchaient;e.bo.ʃɛ
ébauchais;e.bo.ʃɛ
ébauchait;e.bo.ʃɛ
ébauchant;e.bo.ʃɑ̃
ébauchas;e.bo.ʃa
ébauchasse;e.bo.ʃas
ébauchassent;e.bo.ʃas
ébauchasses;e.bo.ʃas
ébauchassiez;e.bo.ʃa.sje
ébauchassions;e.bo.ʃa.sjɔ̃
ébauche;e.boʃ
ébauchent;e.boʃ
ébaucher;e.bo.ʃe
ébauchera;e.bo.ʃə.ʁa
ébaucherai;e.bo.ʃə.ʁe
ébaucheraient;e.bo.ʃə.ʁɛ
ébaucherais;e.bo.ʃə.ʁɛ
ébaucherait;e.bo.ʃə.ʁɛ
ébaucheras;e.bo.ʃə.ʁa
ébaucherez;e.bo.ʃə.ʁe
ébaucheriez;e.bo.ʃə.ʁje
ébaucherions;e.bo.ʃə.ʁjɔ̃
ébaucherons;e.bo.ʃə.ʁɔ̃
ébaucheront;e.bo.ʃə.ʁɔ̃
ébauches;e.bɔʃ
ébaucheur;e.bo.ʃœʁ
ébaucheurs;e.bɔ.ʃœʁ
ébauchez;e.bo.ʃe
ébauchiez;e.bo.ʃje
ébauchions;e.bo.ʃjɔ̃
ébauchoir;e.bɔ.ʃwaʁ
ébauchons;e.bɔ.ʃɔ̃
ébaudîmes;e.bo.dim
ébaudît;e.bo.di
